ASV,cpd00254,cpd00063,cpd00205,cpd00034,cpd00030,cpd00149,cpd19013,cpd10515,cpd00058,cpd00099,cpd00048,cpd00009,cpd09225,cpd11574,cpd00131,cpd00547,cpd00104,cpd00393,cpd00263,cpd00220,cpd00218,cpd03424,cpd00541,cpd19112,cpd00971,cpd00244,cpd00443,cpd01079,cpd03387,cpd00305,cpd15574,cpd00240,cpd00067,cpd10393,cpd00074,cpd00011,cpd11640,cpd01024
Methanomassiliicoccus.1,0/201/85/76/144/362,0/200/85/77/145/362,0/200/85/77/145/362,0/200/85/77/145/362,0/200/85/76/145/361,0/200/85/77/145/362,0/200/85/77/145/362,0/201/85/76/144/362,0/200/85/77/145/362,0/200/85/77/145/362,0/200/85/77/145/362,0/201/85/76/144/362,0/200/85/77/145/362,0/200/85/77/145/362,0/200/85/77/145/362,0/194/85/75/142/354,0/201/85/76/144/362,0/198/85/72/139/355,0/200/85/79/146/364,0/195/85/75/143/355,0/197/85/78/145/360,0/200/85/77/145/362,0/200/85/77/145/362,0/200/85/77/145/362,0/200/85/77/145/362,0/200/85/77/145/362,0/197/83/75/140/355,0/200/85/77/145/362,0/200/85/78/145/363,0/197/87/74/143/358,0/200/85/77/145/362,0/200/85/77/145/362,0/201/85/76/144/362,0/200/85/77/145/362,0/199/85/74/141/358,0/205/82/75/139/362,0/205/82/75/139/362,
Thermovirga.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
midas_g_114252.1,0/328/14/33/31/375,0/327/14/34/32/375,0/328/14/34/32/376,0/328/14/34/32/376,0/328/14/34/32/376,0/328/14/34/32/376,0/328/14/34/32/376,0/328/14/34/32/376,0/327/14/34/32/375,0/327/14/34/32/375,0/328/14/34/32/376,0/328/14/34/32/376,0/328/14/34/32/376,0/328/14/34/32/376,0/328/14/34/32/376,0/319/14/39/36/372,0/328/14/34/32/376,0/321/13/33/29/367,0/329/14/34/31/377,0/322/14/35/32/371,0/326/14/35/32/375,0/328/14/34/32/376,0/328/14/34/32/376,0/328/14/34/32/376,0/328/14/34/32/376,0/328/14/34/32/376,0/318/14/35/32/367,0/328/14/34/32/376,0/329/14/33/31/376,0/321/13/34/30/368,0/328/14/34/32/376,0/328/14/34/32/376,0/328/14/33/31/375,0/328/14/34/32/376,0/324/14/39/36/377,0/329/13/35/31/377,0/328/14/37/34/379,
Christensenellaceae_R-7_group.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBG-16-49-21.1,0/329/13/34/31/376,0/328/13/35/32/376,0/330/13/35/32/378,0/328/13/35/32/376,0/328/13/35/32/376,0/330/13/35/32/378,0/330/13/35/32/378,0/330/13/35/32/378,0/331/13/35/32/379,0/328/13/34/31/375,0/330/13/35/32/378,0/330/13/35/32/378,0/330/13/35/32/378,0/330/13/35/32/378,0/330/13/35/32/378,0/319/13/36/32/368,0/329/13/35/32/377,0/324/11/35/29/370,0/330/13/35/31/378,0/323/13/35/31/371,0/327/13/35/31/375,0/330/13/35/32/378,0/330/13/35/32/378,0/330/13/35/32/378,0/329/13/34/31/376,0/330/13/34/31/377,0/321/13/36/32/370,0/330/13/35/32/378,0/329/13/35/32/377,0/322/12/35/30/369,0/330/13/35/32/378,0/330/13/35/32/378,0/330/13/35/32/378,0/330/13/35/32/378,0/324/13/38/34/375,0/327/12/35/30/374,0/325/13/38/34/376,
midas_g_30443.1,0/294/30/51/65/375,0/292/30/50/64/372,0/292/30/50/64/372,0/291/30/50/64/371,0/291/30/50/64/371,0/292/30/50/64/372,0/292/30/50/64/372,0/291/30/50/64/371,0/293/30/51/65/374,0/293/30/50/64/373,0/295/30/51/65/376,0/292/30/50/64/372,0/292/30/50/64/372,0/292/30/50/64/372,0/292/30/50/64/372,0/286/30/53/66/369,0/291/30/50/64/371,0/288/30/47/60/365,0/293/30/53/66/376,0/285/29/51/63/365,0/289/30/51/64/370,0/292/30/50/64/372,0/292/30/50/64/372,0/292/30/50/64/372,0/291/30/50/64/371,0/295/30/51/65/376,0/283/30/52/65/365,0/292/30/50/64/372,0/293/30/51/65/374,0/288/32/48/63/368,0/292/30/50/64/372,0/292/30/50/64/372,0/293/30/51/65/374,0/292/30/50/64/372,0/289/30/52/65/371,0/290/29/48/60/367,0/292/30/51/65/373,
midas_g_36215.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christensenellaceae_R-7_group.18,,,,,,,,,,,,,,,,0/259/34/87/101/380,,,,,,,,,,,,,,,,,,,0/254/35/102/118/391,,,
Methanosarcina.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ca_Phosphitivorax.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christensenellaceae_R-7_group.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ca_Caldatribacterium.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dechlorobacter.1,0/295/25/42/51/362,0/296/25/42/51/363,0/295/25/42/51/362,0/295/25/42/51/362,0/295/25/42/51/362,0/295/25/42/51/362,0/295/25/42/51/362,0/296/25/42/51/363,0/296/25/42/51/363,0/296/25/42/51/363,0/295/25/42/51/362,0/295/25/42/51/362,0/295/25/42/51/362,0/295/25/42/51/362,0/295/25/42/51/362,0/293/25/45/52/363,0/296/25/42/51/363,0/291/23/43/49/357,0/295/25/44/52/364,0/289/24/43/50/356,0/294/25/42/50/361,0/295/25/42/51/362,0/295/25/42/51/362,0/295/25/42/51/362,0/295/25/42/51/362,0/295/25/42/51/362,0/287/25/45/53/357,0/295/25/42/51/362,0/295/25/42/51/362,0/294/26/41/50/361,0/295/25/42/51/362,0/295/25/42/51/362,0/296/25/42/51/363,0/295/25/42/51/362,0/293/24/44/51/361,0/293/24/43/50/360,0/296/25/44/52/365,
EBM-39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methanobacterium.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
midas_g_399.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
midas_g_33659.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stenotrophomonas.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklawnia.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
midas_g_49937.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
midas_g_36215.5,0/338/16/33/33/387,0/338/16/33/33/387,0/341/16/33/33/390,0/339/16/33/33/388,0/340/16/33/33/389,0/341/16/33/33/390,0/341/16/33/33/390,0/341/16/33/33/390,0/339/16/33/33/388,0/338/16/33/33/387,0/341/16/33/33/390,0/341/16/33/33/390,0/341/16/33/33/390,0/341/16/33/33/390,0/341/16/33/33/390,0/331/16/35/34/382,0/340/16/33/33/389,0/334/14/33/30/381,0/333/16/33/32/382,0/332/16/34/33/382,0/338/16/33/32/387,0/341/16/33/33/390,0/341/16/33/33/390,0/341/16/33/33/390,0/339/16/33/33/388,0/341/16/33/33/390,0/329/16/35/34/380,0/341/16/33/33/390,0/341/16/33/33/390,0/332/15/34/32/381,0/341/16/33/33/390,0/341/16/33/33/390,0/338/16/33/33/387,0/341/16/33/33/390,0/335/16/36/35/387,0/332/15/34/32/381,0/338/16/34/33/388,
Acetobacterium.1,,,,,,,,,,,,,,,,0/271/53/55/91/379,,,,,,,,,,,,,,,,,,,0/274/53/56/92/383,,,
Ruminiclostridium.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romboutsia.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syner-01.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudochelatococcus.1,0/313/27/36/47/376,0/314/27/36/47/377,0/314/27/36/47/377,0/314/27/36/47/377,0/315/27/37/48/379,0/314/27/36/47/377,0/314/27/36/47/377,0/314/27/37/48/378,0/313/27/36/47/376,0/314/27/36/47/377,0/314/27/36/47/377,0/314/27/36/47/377,0/314/27/36/47/377,0/314/27/36/47/377,0/314/27/36/47/377,0/313/27/35/45/375,0/314/27/36/47/377,0/307/25/36/44/368,0/315/26/37/46/378,0/306/27/37/47/370,0/313/27/37/47/377,0/314/27/36/47/377,0/314/27/36/47/377,0/314/27/36/47/377,0/314/27/36/47/377,0/315/27/36/47/378,0/303/27/38/48/368,0/314/27/36/47/377,0/312/27/36/47/375,0/313/28/36/47/377,0/314/27/36/47/377,0/314/27/36/47/377,0/315/27/37/48/379,0/314/27/36/47/377,0/312/27/37/47/376,0/314/26/34/43/374,0/315/27/37/48/379,
